プロパティとは、クラス、構造体、列挙型などに紐づく値のことです。型や、型のインスタンスに紐づいた変数や定数のことをいいます,1,正解,不正解
インスタンスプロパティとは、型のインスタンスに紐づくプロパティのことをいいます,1,正解,不正解
タイププロパティは、型そのものに紐づくプロパティです。インスタンスが異なっても共通の値を保持するときに使用します,1,正解,不正解
タイププロパティは、staticキーワードをプロパティにつけます。参照するときは、インスタンス化しないで直接型からアクセスできます。,1,正解,不正解
クラスプロパティは、クラスに紐づくプロパティです。タイププロパティ同様に、インスタンスが異なっても共通の値を保持するときに使用します。classキーワードをプロパティにつけて、ゲッタを定義します。,1,正解,不正解
ストアドプロパティは、値を保持するプロパティのことをいいます。値を保持するものを全てストアドプロパティと呼びます。そのため、インスタンスプロパティやタイププロパティも値を持っていたらストアドプロパティのうちに入ります。,1,正解,不正解
ストアドプロパティは、値の変更を監視するプロパティオブザーバーという機能があります。変更前と変更後に処理を実行できる機能が備わっています。
willSetは、値が変更される前に実行されて、didSetは、値が変更された後に実行されます。,1,正解,不正解
レイジーストアドプロパティは、アクセスされるまで初期化するのを遅延させるプロパティです。負荷の高いプロパティの初期化を遅らせて、パフォーマンスを上げたいときなどに使用されます。,1,正解,不正解
コンピューテッドプロパティは、ストアドプロパティと違い、値を保持せずに算出した値を返すプロパティです。コンピューテッドプロパティは、アクセスごとに値を計算し直して返します。,1,正解,不正解
メソッドとは、型に紐づいた関数のことです。,1,正解,不正解
サブスクリプトとは添え字のことをいいます。配列や辞書などのコレクションにアクセスできるための記述であり、配列のインデックスや辞書のキー名になります。,1,正解,不正解
サブスクリプトの定義方法は、subscriptキーワードを記述し、{}内にgetキーワードでゲッタを、setキーワードでセッタを定義します。ゲッタは必須ですが、セッタは任意になります。,1,正解,不正解
イニシャライザとは、クラス、構造体、列挙型などでインスタンスを初期化させることをいいます。Swiftでは、全てのプロパティはインスタンス化がされるまでに値が代入されていなければなりません。そのため、プロパティの宣言時に値を持たないプロパティは、イニシャライザで初期化をする必要があります。,1,正解,不正解
Swiftでは、クラスや構造体、列挙型、プロトコルなどに既存の型を拡張して機能を追加することができる使用をextensionといいます。,1,正解,不正解
