//構造体とクラス
Swiftでは、データを表すためにクラス、構造体、列挙型と３つの型の種類があります。これらの違いの一つで、値の受け渡し方法があります。構造体と列挙型は値型で、クラスが参照型になります。,1,正解,不正解
値型とは、変数の値が参照ではなく直接、値をもつ型のことをいいます,1,正解,不正解
基本的な型であるInt型や、Float型、Bool型、String型、Array型、Dictionary型などは全て値型になります。これらは内部では構造体として実装されています。,1,正解,不正解
値型では、mutatingキーワードを定義することによって自身の値を変更することができます。,1,正解,不正解
参照型は値への参照を持つ型です。値型とは異なり、参照型は変数や定数に代入された時や関数に渡されたときはコピーされません。コピーではなく、既存のインスタンスへの参照が使用されます。,1,正解,不正解
構造体とは、値型の一種です。プロパティやメソッドを定義することによって様々なデータや振る舞いを形成することができます。,1,正解,不正解
構造体の特徴は次のような特徴があります。値型である、複数の値を一つの構造体で管理できる、同じ構造のデータを複製できる、定数への変更はできない,1,正解,不正解
メンバーワイズイニシャライザとは、明示的にinitでイニシャライザを定義しなくても自動的に作られ、型が持っているストアドプロパティと同名の引数を指定して初期化できる機能です。,1,正解,不正解
Swiftのクラスは、構造体と同様にデータを管理することができます。構造体と似ていますが、クラスは参照型で継承することができます,1,正解,不正解
Swiftのクラスは、他のクラスからメソッドやプロパティなどを継承することができます。クラスが他のクラスから継承する場合、継承するクラスのことをサブクラス、継承されるクラスは、スーパークラスと呼びます,1,正解,不正解
サブクラスは、スーパークラスから継承するメソッドやプロパティなどを再定義することができます。これをオーバーライドといいます,1,正解,不正解

